autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Mauricio,"Joinville, SC",Local maravilhoso com diversas opções para lazer e relaxar. Andamos juotompo parque e também alugamos bicicletas para aproveitar ainda mais,Feita em 18 de junho de 2022,O melhor parque da cidade
Mário,6 contribuições,"""praia dos curitianos"" nunca vi nome tão justo,lugar perfeito pra fazer esportes e passear,também há churrasqueira no lugar pra assar aquele churrasco bagual.",Feita em 12 de junho de 2022,minha primeira vez com uma capivara
Daniela G,"São Paulo, SP","Adorei a divisão de pista para caminhada, pista para corrida e pista para bicicleta ou patinete. pena que as pessoas não respeitam muito... é possível chegar bem perto das capivaras, tem bastante espaço para elas dividirem com as aves.",Feita em 7 de junho de 2022,"Muito espaço para os animais, local tranquilo"
RodrigoPaiva,"Montes Claros, MG","Um dos maiores da cidade, sendo, também, um dos mais antigos, recebeu o nome do rio Barigui que passa em seu interior e foi represado para formar um grande lago.",Feita em 22 de maio de 2022,Criado em 1972
Mylavh,"Brasília, DF",lugar bem agradável e muito grande. boa opção para descansar e passear.,Feita em 11 de maio de 2022,boa opçao
Lucas Cabral,"Brasília, DF","Lugar muito bonito, ambiente agradável, vale muito a pena conhecer, fazer caminhada, fotos e experimentar essa experiência.",Feita em 16 de abril de 2022,Top
Monica Criscili,"Curitiba, PR","Local lindo, incrível para atividade física e lazer! Familiar e muito bem cuidado! Sensacional… com locais para alimentação e banheiro",Feita em 11 de abril de 2022,Excelente local pra lazer e atividade física
Gabriel HS Venancio,"Curitiba, PR","Tem de tudo... corrida, caminhada, patins, skate, volei, bike, futebol... até carrinho de controle remoto, aviões hahahaha. Muita gente bonita... cheio nos finais de semana.",Feita em 29 de março de 2022,Cheio de gente bonita fazendo esporte
Karen Takagi,"Cananéia, SP","Um dos parques mais bonitos de Curitiba vale muito a pena conhecer, tem capivaras, amplo espaço, ótimo para a pratica de esportes ao ar livre!",Feita em 9 de fevereiro de 2022,um dos parques mais bonitos de curitiba!
wandersc,"Uberaba, MG","Lindo parque super bem cuidado , limpo e policiado, tem pistas demarcadas pra bike e corrida e caminhada, vários animais desde capivaras e inuneras aves, aluguei bicicleta na entrada por quase meia hora e foi R$50 casal, vale a pena , tem museu automóvel em anexo com entrada privada a tarde, lugar maravilhoso",Feita em 4 de fevereiro de 2022,Lindo
Carlos Bellini,"Itapira, SP","Excelente parque para passear, fazer esportes, relaxar ou então fazer um picnic. É bem amplo, com vários carrinhos que vendem água, pipoca, etc.",Feita em 17 de janeiro de 2022,Ótimo passeio
Eliezer P,"São Paulo, SP","O parque é enorme e muito bem cuidado, com amplo estacionamento. É ótimo pra ter contato com a natureza, para caminhar, passear com a família, com pets, bem como para correr e pedalar. Para os turistas, não tem tantos atrativos como o Tanguá e o Jardim Botânico, mas é um local bonito para conhecer.",Feita em 4 de janeiro de 2022,Parque enorme e bem bonito
Humberto Dehon,"Divinópolis, MG","Que local maravilhoso, imenso, muita área verde, lagoas, animais silvestres e muito ar puro. Tem pistas de caminha, corrida e ciclovia separadas. É um local imperdível.",Feita em 1 de janeiro de 2022,Parque maravilhoso
Kamila J,3 contribuições,"Bom para sentar na grama com um pano, tem pista separado para ciclista, corrida e pedestre. Vai bastante gente no fim d semana.",Feita em 5 de dezembro de 2021,Bom parque
Fernando O,"São Paulo, SP","Otimo para caminhada e contato com a natureza, agora em novembro ja tem apresentações natalinas.",Feita em 27 de novembro de 2021,Otimo para caminhada
Amanda,"Rio de Janeiro, RJ","Lugar lindo e que transmite muita paz. Ideal para passeios durante a manhã, pedal, corridas, caminhadas, passeio em família. As capivaras dão charme ao lugar. As crianças amam. Não esquecer de repelentes pois os mosquitos atacam demais na parte da tarde!",Feita em 23 de novembro de 2021,Lindo Parque1
Fernando Oliveira,"Barueri, SP","O parque é enorme, tem uma ótima infraestrutura e é muito bem cuidado!",Feita em 17 de novembro de 2021,Parque maravilhoso!
Ilvamatta,"Niterói, RJ","Lugar excepcional , lugar lindo para atividade ar livre , entrada gratuita , onde pode fazer atividade física , relaxar em família , extensa área verde e com um lago lindíssimo",Feita em 7 de novembro de 2021,Viagem de final de semana
Giovanna R,"Bombinhas, SC","Amei demais a visita ao parque Barigui! Reservei apenas 1h30 do roteiro para ficar nele, mas gostaria de ter ficado bem mais, o lugar é imenso e tem muita coisa pra explorar! Há toda sorte de pessoas praticando atividade física, havendo pistas separadas para caminhada, corrida e bicicleta, o que torna a prática das atividades bem mais organizada e proveitosa. ",Feita em 30 de outubro de 2021,Uma delícia de lugar
adaol919,"Curitiba, PR","Mais uma obra do ex-prefeito Jaime Lerner, que com a sua equipe de trabalho transformou uma grande área de lazer a disposição dos curitibanos criando, pistas de caminhada, ciclismo, lazer, disponibilizou churrasqueiras para piqueniques,além de umcentro de convenções ainda existe um restaurane e o mais importante é o contato com a natureza. Existem varios e amplos estacionamentos",Feita em 21 de outubro de 2021,MUITO MAIS QUE UM PARQUE
Rúbia L,34 contribuições,"Lindo parque, ótimo para caminhar, correr, pedalar, fazer um piquenique ou até mesmo tomar um chimarrão na presença das graciosas capivaras, que tão mansas, quase podem ser tocadas. ( mas não tente e não faça, respeite os limites do bom senso e evite acidentes). aprecie...",Feita em 13 de outubro de 2021,lugar bonito
Mariana Egger,"Florianópolis, SC","Parque muito amplo, com espaço para caminhada, corrida, andar de bicicleta ou simplesmente fazer um piquenique e relaxar.",Feita em 13 de outubro de 2021,Ótimo com criança
Marcelo Gomes,"Maringá, PR","O parque é uma jóia dentro de Curitiba, com certeza tem parques como esse melhoram muito a qualidade de vida dos moradores, o parque conta também com a ilustre presença de capivaras, e outros animais que dão mais amornia pro local.",Feita em 10 de outubro de 2021,Muitas capivaras
Thiello,"Curitiba, PR","Ótimo para praticar atividades ao ar livre, como também para tomar uma gelada no barzinho à beira do lago.",Feita em 1 de outubro de 2021,Para famílias e jovens
Diego C,"Itajaí, SC","Não conhecia nenhum dos parques de Curitiba, porém este local chamou nossa atenção. Que lugar incrível e bem preservado para um passeio ou uma caminhada. Recomendo com toda certeza.",Feita em 30 de setembro de 2021,Local incrível
Celso Lorenzetti,"Novo Hamburgo, RS","Excelente para caminhar, correr, pedalar, sentar no gramado, fazer um piquenique com a família. É muito lindo ",Feita em 20 de setembro de 2021,"Muito lindo,"
Rafaela,"Luiz Alves, SC","Parque bem grande, fizemos uma caminhada curta, acredito que seja melhor aproveitado por quem gosta de praticar exercícios, pedalar, correr... ",Feita em 19 de setembro de 2021,Bom
OdairBehnke,"Blumenau, SC",É um grande parque muito bom para fazer atividades físicas e se divertir no gramado. Senti falta de brinquedos para as crianças. ,Feita em 6 de setembro de 2021,Legal
Rafael B,"Blumenau, SC","Péssima experiência, fomos passear e chegando no local não tinha nada, o parquinho de crianças estava fechado e segundo funcionários a mais de um ano e meio. Perguntei se tinha mais algo a fazer falou que não somente caminhar na pista ao redor. Tivemos que mudar os planos.",Feita em 5 de setembro de 2021,Nada funcionando
Danielle,26 contribuições,"O clima de 12⁰ deixou o passeio ainda melhor. Um lugar para andar, namorar, fazer uma corrida 🏃 ou passeio de bicicleta 🚲, respirando ar puro e desfrutando de uma bela paisagem. Fim de tarde é um horário maravilhoso. ",Feita em 29 de agosto de 2021,Natureza e muita descontração 
Marcus,"Porto Alegre, RS","Parque muito bonito, amplo, limpo, organizado. Boa opção para uma caminhada pela manhã. Tem pistas de caminhada, corrida, bicicleta. Pontes, lagos, capivaras. Muitas opções de fotos e fica perto do ParkShopping Barigui.",Feita em 6 de agosto de 2021,PARQUE LINDO
Marina,"Porto Alegre, RS",Parque lindo! Gigante. Apenas sentamos nas árvores e apreciamos as capivaras e biguás. Local lindo! Tivemos sorte de passar por um casal de capivaras com filhote. Amamos.,Feita em 1 de agosto de 2021,Lindo e grande
Gilse R,50 contribuições,"O parque Barigui é bom para pratica de esporte, para turismo em si, não tem nada muito atrativo além do lago e as capivaras. ",Feita em 13 de julho de 2021,"É um parque normal, nada de especial"
Talita M,7 contribuições,"Parque aparenta ser pequeno, mas fui fazer passeio de bicicleta e é enorme. ",Feita em 29 de junho de 2021,Amei
Eduarda K,"Santos, SP","nao é o parque mais bonito de curitiba, mas tem um bom espaço para esportes como corrida, bike, skate, patins e etc!",Feita em 14 de maio de 2021,legal
Rafael Bernardi Rizzon,"Caxias Do Sul, RS",O Barigui é excelente para relaxar e praticar caminhada/andar de bicicleta. Possui cerca de 4 kms de pistas que contornam um riacho e um lago que é represado. Ao percorrer sua extensão pode-se deparar com capivaras mansas se alimentando ou cochilando a beira do lago.,Feita em 14 de abril de 2021,Grandioso Parque
Fernanda Garrôcho,"Belo Horizonte, MG","Achei um parque excelente para a prática de exercícios, visto que possui pistas e ciclovias, quadras de areia, pista de patinação, etc. Parque estruturado com banheiros, bebedouros, bares e restaurantes. Fui em um final de tarde de sábado e estava bem cheio. Muitas pessoas fazendo piquenique, outras praticando exercícios, outras apenas desfrutando da bela vista do parque. Entrada gratuita. ",Feita em 26 de fevereiro de 2021,ótimo para praticar exercícios e relaxar!
707freski,"Castro, PR","O melhor e maior parque da cidade,  com pistas de caminhada/corrida e pista para ciclistas. Ótimo para fazer picnic com a família. As capivaras no final da tarde saem da água para tomar sol e comer e são muito mansas. Tem estrutura com banheiros e bares. Estacionamento amplo e gratuito.",Feita em 20 de fevereiro de 2021,Capivaras
Aldo Eurico,"Santo André, SP","      Mais um parque da cidade de Curitiba que acompanha as mesmas práticas de Boa conservação, limpo, organizado a grama no geral bem cuidada. Excelente para uma boa caminhada ou um pedal por exemplo, pois tem área demarcada para esta prática além da topografia ser bem plana em sua totalidade.",Feita em 15 de fevereiro de 2021,Adequadissimo para práticas esportivas 
fatima289,"João Pessoa, PB","Lugar super lindo e agradável e propício para passear, caminhar e pedalar. Com uma natureza viva e vibrante e muitas espécies. Muito bom e vale a pena, sim! ",Feita em 13 de fevereiro de 2021,"""Exuberante"""
Raffael_Rabelo,"Santos, SP","Parque muito bem cuidado, gigante e com pista de cooper, caminhada e para bike. Capivaras dão um charme. Excelente para caminhada",Feita em 17 de janeiro de 2021,Natureza
Dani,"Curitiba, PR","Lugar bem grande, lindo com opções para curtir em família, com amigos, caminhar, relaxar, curtir a natureza, tem opções de lazer, restaurantes, bares. Um lugar muito bom em Curitiba.",Feita em 15 de janeiro de 2021,Incrível 
Milton2509,"São Carlos, SP",Excelente para uma caminhada pela manhã. Além de bonito é super bem conservado. Melhor parque que já fui no território nacional.,Feita em 7 de janeiro de 2021,Local de Primeiro Mundo
Letícia Xavier,"Curitiba, PR","Local ótimo para caminhar, o parque é enorme e munido de ciclovia e espaço para caminhada e corrida de pedestres. Local com animais silvestres, onde é fácil ver capivaras pelo parque. Muito espaço verde, ideal para sentar na grama e aproveitar o momento, tomar um mate, etc.",Feita em 6 de janeiro de 2021,Muito bom
ligzrox,"São Paulo, SP",Com um lago no meio o parque excelente para uma corrida e para prática de esportes. Deveria ter mais atividades para crianças.,Feita em 5 de janeiro de 2021,Bom para esportes
ValmirGonzaga,"Tremembé, SP","Um grande parque para prática de exercícios físicos. Muito bem organizado e cuidado, conta com pistas de ciclismo e corrida/caminhada. Possui estrutura básica com banheiro e venda de água e lanches. Entrada gratuita com estacionamento. ",Feita em 1 de janeiro de 2021,Parque Barigui
Cleber B,"Americana, SP","Espaço lindo como os demais. Com a diferença que é muito frequentado para caminhada, corrida e andar de bike.",Feita em 1 de janeiro de 2021,Local para atividades físicas.
Sianinogo,"Curitiba, PR","Parque delicioso com muito verde, lindo lago, com ciclovias onde podem ser feitas atividades físicas ao ar livre.",Feita em 30 de dezembro de 2020,Adoro
Andressa B,"Rio de Janeiro, RJ","Local seguro e badalado. Voce vera capivaras, patos e pássaros vivendo tranquilamente. Local para relaxar e fazer pique nique na cidade.",Feita em 3 de dezembro de 2020,É o point da cidade
Atenhotep patrick,"Rio de Janeiro, RJ","Parque bacana, mas talvez por causa da Covid e chuva, não fiquei tão impressionado como o parque Tanguá.",Feita em 24 de novembro de 2020,Bacana
Izabel R,"Campo Novo do Parecis, MT","Este Parque é muito grande. Tem pistas para caminhada, pistas para ciclistas. Até carros passam dentro dele. Muita sombra, porque tem árvores enormes. Onde tem gramado, está bem cuidado. Lugar ideal para famílias passearem. No parque tem um barzinho, que serve comida rápida e bebidas. Somente ali tem banheiro. Para o tamanho do parque, achamos que deveria ter mais. Lugar lindíssimo! ",Feita em 17 de novembro de 2020,Parque para fazer exercícios 
Simone,"Curitiba, PR","Lindo parque. As capivaras são uma atração à parte! Parque bem cuidado, apesar de muito cheio. Vale a visita.",Feita em 2 de novembro de 2020,O parque mais curitibano de Curitiba
IVAN,"São Paulo, SP","Parque Barigui está mantendo seu poderio de um dos melhores parques para se visitar de Curitiba ,muito organizado , respeitando as normas de segurança  saúde adotados pela Prefeitura e Governo ",Feita em 1 de novembro de 2020,Limpo E Lindo
roberta t,"São Paulo, SP","Para quem gosta de andar é bem legal, parque bem próximo do parque Ibiraquera de São Paulo .",Feita em 28 de outubro de 2020,Bem próximo do parque Ibiraquera em São Paulo 
Tamy E,"Brasília, DF","Parque tranquilo , bem limpinho. Bastante movimentado . Muitas capivaras circulando no local . Bom passeio para ser feito .",Feita em 23 de outubro de 2020,Passeio 
Sandra W,"Curitiba, PR","Esse parque é o mais agitado de Curitiba, as pessoas dão uma passadinha de carro, uma caminhada na pista, um passeio de bicicleta ou com os pets. Para os mais animados, vale também, um chopinho nos barzinhos do parque.",Feita em 20 de outubro de 2020,Parque mais movimentado da cidade
Amarilis N,11 contribuições,"Parque amplo para várias práticas esportivas, com uma bela vista e com bastante contato com animais e com a natureza. Possibilita inúmeras atividades: corrida, ciclismo, caminhada! Super organizado e limpo, lugar para ir com família, amigos, em casal  ou sozinho",Feita em 8 de outubro de 2020,Saúde em primeiro lugar
Gabriel Baptista,"Sarandi, RS","Primeira vez que fui no Parque Barigui. Ao meu ponto de vista é o melhor de Curitiba, grande, muita mata fechada, lago grande, local para jogar, andar de bike, fazer esportes, caminhadas, ou simplesmente ficar na grama sentado à sombra das árvores. Tem estacionamento gratuito, locais para comprar lanches e bebidas. Banheiro pago.",Feita em 3 de outubro de 2020,Bom para relaxar 
Leticia T,"Curitiba, PR","O parque Barigui é o melhor parque na minha opinião para caminhar, ou passear no final de semana. Ele é lindo mesmo, tem beleza material e natural . ",Feita em 23 de setembro de 2020,Amo esse parque
Michelle de Oliveira,"Curitiba, PR","Muito verde, muito lindo, muito limpo, enorme. Dá para caminhar, correr, fazer piquenique com a família, encontrar os amigos e relaxar ou simplesmente se jogar na grama e esquecer a loucura que é o mundo lá fora. Além disso, tem as fofinhas das capivaras sempre presentes, que não incomodam ninguém, só deixam o lugar ainda mais perfeito.",Feita em 8 de setembro de 2020,"Natureza no meio da cidade, um paraíso."
Talita M,"Florianópolis, SC","Apesar de movimentado , a paisagem com água e muito verde trazem muita tranquilidade . Crianças , adultos , bicicletas , descontração e paz . ",Feita em 29 de agosto de 2020,Lindo lugar de paz 
